iter	Passed	Remaining
0	42	21175
1	71	17925
2	122	20214
3	195	24280
4	265	26302
5	296	24383
6	357	25146
7	387	23859
8	449	24525
9	500	24533
10	521	23201
11	542	22078
12	593	22226
13	634	22012
14	674	21818
15	743	22484
16	805	22885
17	883	23648
18	944	23914
19	986	23672
20	1048	23912
21	1110	24123
22	1194	24778
23	1281	25424
24	1356	25775
25	1418	25862
26	1481	25952
27	1547	26088
28	1610	26159
29	1641	25719
30	1703	25769
31	1767	25845
32	1829	25896
33	1882	25800
34	1944	25838
35	2006	25866
36	2076	25985
37	2138	26004
38	2201	26026
39	2264	26044
40	2359	26418
41	2441	26623
42	2504	26615
43	2584	26779
44	2648	26782
45	2702	26676
46	2746	26474
47	2810	26462
48	2876	26474
49	2942	26479
50	2996	26378
51	3329	28685
52	3449	29093
53	3507	28969
54	3612	29232
55	3745	29694
56	3814	29642
57	3900	29722
58	3970	29676
59	4050	29704
60	4094	29469
61	4179	29527
62	4257	29531
63	4335	29536
64	4398	29438
65	4464	29356
66	4496	29058
67	4558	28961
68	4611	28804
69	4674	28716
70	4738	28630
71	4801	28543
72	4866	28465
73	4931	28388
74	4994	28303
75	5059	28226
76	5130	28184
77	5194	28103
78	5227	27859
79	5290	27773
80	5353	27693
81	5416	27611
82	5438	27323
83	5501	27243
84	5570	27196
85	5633	27120
86	5697	27045
87	5729	26822
88	5791	26745
89	5855	26673
90	5920	26610
91	5991	26571
92	6056	26507
93	6120	26437
94	6184	26365
95	6250	26303
96	6321	26263
97	6385	26194
98	6427	26033
99	6490	25960
100	6511	25723
101	6574	25652
102	6638	25585
103	6700	25514
104	6763	25441
105	6826	25372
106	6889	25304
107	6952	25236
108	7016	25168
109	7080	25102
110	7144	25036
111	7209	24974
112	7272	24905
113	7335	24839
114	7398	24767
115	7461	24700
116	7525	24635
117	7588	24566
118	7652	24499
119	7714	24430
120	7784	24383
121	7847	24314
122	7911	24249
123	7933	24057
124	7996	23989
125	8061	23928
126	8124	23861
127	8166	23734
128	8229	23668
129	8293	23603
130	8356	23538
131	8419	23472
132	8451	23320
133	8513	23252
134	8576	23187
135	8638	23121
136	8702	23057
137	8766	22995
138	8828	22929
139	8892	22866
140	8955	22802
141	9019	22739
142	9085	22680
143	9149	22620
144	9221	22576
145	9284	22512
146	9347	22447
147	9410	22382
148	9473	22317
149	9543	22268
150	9607	22204
151	9670	22140
152	9742	22094
153	9828	22082
154	9891	22015
155	9954	21951
156	10017	21886
157	10081	21822
158	10151	21771
159	10219	21716
160	10283	21653
161	10346	21587
162	10408	21519
163	10472	21455
164	10543	21405
165	10606	21339
166	10671	21278
167	10734	21212
168	10797	21147
169	10861	21083
170	10924	21018
171	10988	20954
172	11051	20889
173	11121	20836
174	11184	20771
175	11247	20705
176	11311	20641
177	11375	20577
178	11437	20510
179	11500	20445
180	11564	20380
181	11633	20326
182	11705	20276
183	11797	20261
184	11872	20216
185	11944	20163
186	12022	20123
187	12095	20073
188	12168	20023
189	12242	19974
190	12312	19918
191	12377	19855
192	12441	19789
193	12505	19725
194	12570	19660
195	12639	19604
196	12703	19538
197	12767	19473
198	12833	19411
199	12898	19347
200	12963	19284
201	13029	19221
202	13104	19172
203	13174	19115
204	13239	19052
205	13304	18987
206	13368	18922
207	13436	18862
208	13510	18811
209	13590	18768
